           1           0         208         208   2.08720708    
    -0.760     -1.620     1     3      7.374     0  2212
     3.032      4.094     2     3      6.851     0  2212
     6.044     -0.655     3     3      6.159     0  2212
     2.344     -1.814     4     3      5.971     0  2212
     3.419      0.603     5     3      5.813     0  2212
    -1.855     -3.226     6     3      5.540     0  2112
     1.264     -2.610     7     3      5.447     0  2212
     2.606      3.657     8     3      5.398     0  2212
     3.650     -4.320     9     3      5.276     0  2212
     0.591      3.489    10     3      5.157     0  2212
     5.562     -5.355    11     0      4.674  2212  2212
     0.262      0.779    12     3      4.593     0  2212
     1.991      0.599    13     3      4.588     0  2212
     2.441      0.205    14     3      4.438     0  2212
     1.659      3.090    15     3      4.366     0  2112
     1.527     -1.460    16     3      4.256     0  2212
    -1.024     -4.419    17     3      4.205     0  2212
    -5.628     -1.330    18     3      4.134     0  2212
     0.692     -1.107    19     3      4.099     0  2212
    -0.431      2.602    20     3      4.074     0  2212
    -2.547      0.430    21     3      3.989     0  2112
     0.969     -2.405    22     3      3.988     0  2212
    -1.068      1.433    23     3      3.975     0  2212
     0.220     -3.565    24     3      3.950     0  2212
     0.964     -1.024    25     3      3.794     0  2212
    -2.524      3.344    26     3      3.773     0  2212
    -4.678      0.070    27     3      3.743     0  2212
     1.098     -5.889    28     3      3.727     0  2212
    -0.699     -4.362    29     3      3.698     0  2212
     3.494      3.621    30     3      3.680     0  2212
     4.530     -3.997    31     3      3.654     0  2212
     4.781      3.122    32     3      3.468     0  2212
     2.982     -4.832    33     3      3.445     0  2212
    -1.276     -1.858    34     3      3.412     0  2212
    -3.079     -5.465    35     3      3.370     0  2212
     0.538     -3.373    36     3      3.362     0  2212
     1.042     -1.178    37     3      3.332     0  2212
    -2.986     -3.495    38     3      3.243     0  2212
    -2.442     -4.773    39     3      3.167     0  2212
     0.258      0.998    40     3      2.941     0  2212
     4.638      4.739    41     0      2.798  2212  2212
     4.672      3.535    42     3      2.784     0  2212
     2.091      2.889    43     3      2.757     0  2212
     2.665      1.796    44     3      2.755     0  2212
    -1.149     -2.057    45     3      2.733     0  2212
     1.365      4.169    46     3      2.719     0  2212
     4.101      5.425    47     3      2.658     0  2212
     1.976     -3.102    48     3      2.560     0  2212
    -0.121      2.067    49     3      2.529     0  2212
    -0.028      0.035    50     3      2.523     0  2212
    -0.541      0.664    51     3      2.385     0  2212
     1.500     -5.413    52     3      2.335     0  2212
     5.109     -3.942    53     3      2.296     0  2212
    -0.246     -2.557    54     3      2.289     0  2212
     2.463      1.078    55     3      2.254     0  2212
    -2.396      5.383    56     1      2.246  2212  2212
     2.916      0.440    57     3      2.223     0  2212
     1.250     -4.088    58     3      2.221     0  2212
    -3.554     -4.781    59     3      2.138     0  2212
     3.721      1.328    60     3      2.124     0  2212
     5.107     -0.237    61     3      2.123     0  2212
    -1.010     -5.389    62     3      2.021     0  2212
     2.152     -2.231    63     3      2.014     0  2212
     2.461      2.056    64     3      2.006     0  2112
     2.773      1.372    65     3      1.942     0  2212
    -5.645      2.010    66     3      1.885     0  2212
     2.010      4.312    67     3      1.848     0  2212
     6.196     -3.772    68     0      1.815  2212  2212
    -0.441      4.808    69     3      1.720     0  2212
    -0.682      3.737    70     3      1.714     0  2212
     3.337      1.981    71     3      1.686     0  2112
     0.493     -4.178    72     3      1.649     0  2212
     1.437      0.554    73     3      1.469     0  2212
    -2.702     -7.263    74     3      1.395     0  2212
    -2.400      6.902    75     3      1.334     0  2212
     1.953      8.065    76     3      1.329     0  2212
     2.655      4.166    77     3      1.319     0  2212
    -3.756     -0.328    78     3      1.318     0  2212
    -3.267      1.861    79     3      1.238     0  2212
    -3.344     -2.182    80     3      1.236     0  2212
     3.278     -2.903    81     3      1.230     0  2212
    -4.514     -1.335    82     3      1.230     0  2212
     4.079      6.671    83     3      1.230     0  2112
     3.683     -1.592    84     3      1.091     0  2112
     1.746     -4.833    85     3      1.011     0  2112
     2.896      3.339    86     3      0.934     0  2112
     4.919      2.686    87     3      0.838     0  2112
     3.954      0.320    88     3      0.680     0  2112
     0.959     -2.327    89     3      0.627     0  2112
    -0.691     -1.341    90     3      0.620     0  2112
     0.325      0.873    91     3      0.618     0  2112
     4.635      4.922    92     0      0.463  2112  2112
    -0.679     -2.583    93     3      0.453     0  2112
    -4.552      1.858    94     3      0.443     0  2112
     3.244     -3.858    95     3      0.394     0  2212
    -3.129     -3.590    96     3      0.361     0  2112
    -0.426     -5.582    97     3      0.295     0  2112
     0.161     -3.077    98     3      0.129     0  2112
    -2.134      0.413    99     3     -0.003     0  2112
    -4.575      1.617   100     3     -0.020     0  2112
     3.322      0.050   101     3     -0.041     0  2112
     0.655     -0.867   102     3     -0.122     0  2112
     5.407     -0.466   103     3     -0.205     0  2112
     5.026     -5.308   104     3     -0.215     0  2112
     2.487      2.622   105     3     -0.277     0  2112
     1.440      6.817   106     3     -0.339     0  2112
     6.157      3.323   107     0     -0.385  2112  2112
     1.502      1.643   108     3     -0.393     0  2112
     2.485     -5.788   109     0     -0.400  2112  2112
     7.447      3.182   110     0     -0.497  2112  2112
    -1.972      3.154   111     3     -0.506     0  2112
    -4.154     -3.538   112     3     -0.515     0  2112
    -4.107     -4.047   113     3     -0.541     0  2112
    -0.941     -4.903   114     3     -0.549     0  2112
    -1.963     -6.336   115     3     -0.566     0  2112
     1.996     -6.134   116     0     -0.659  2112  2112
     6.284      4.329   117     0     -0.743  2112  2112
     7.254     -2.215   118     0     -0.774  2112  2112
     4.633     -3.831   119     3     -0.849     0  2112
     4.382     -0.781   120     3     -0.856     0  2112
     1.821     -4.087   121     3     -0.919     0  2112
    -1.803     -0.274   122     3     -0.926     0  2112
    -0.658     -5.079   123     3     -1.006     0  2112
     4.242     -3.770   124     0     -1.046  2112  2112
     2.887     -0.128   125     3     -1.093     0  2212
    -2.037     -4.261   126     3     -1.158     0  2212
    -1.159      0.459   127     3     -1.322     0  2212
    -0.402     -2.267   128     3     -1.343     0  2212
     0.212     -5.140   129     3     -1.371     0  2112
